City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Deoria,IN,77.49,clear sky,26.5,83.79,Rajshree Inn
9,Faanui,PF,79.66,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Khani,GE,84.2,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
35,Georgetown,MY,82.4,moderate rain,5.41,100.34,Cititel Penang
39,Pinar Del Rio,CU,77.52,few clouds,22.42,-83.7,Hostal La Colina Dunay y Raul
43,Port Alfred,ZA,76.12,overcast clouds,-33.59,26.89,The Halyards Hotel
44,Butaritari,KI,81.61,overcast clouds,3.07,172.79,Isles Sunset Lodge
47,Wajir,KE,78.78,overcast clouds,1.75,40.06,Al- Amin lodge
56,Lodja,CD,81.27,light rain,-3.48,23.43,
61,Ca Mau,VN,77.11,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
66,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
75,Atuona,PF,77.23,clear sky,-9.8,-139.03,Villa Enata
76,Vila Velha,BR,84.2,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
79,Bonthe,SL,86.74,broken clouds,7.53,-12.51,Bonthe Holiday Village
80,Castro,BR,76.26,overcast clouds,-24.79,-50.01,CHACARA BAILLY
95,Mayumba,GA,80.38,light rain,-3.43,10.66,LIKWALE LODGE
97,Ugoofaaru,MV,83.35,clear sky,5.67,73.0,Ungoofaaru Inn
99,Labuhan,ID,84.02,few clouds,-6.88,112.21,bador sepret
100,Buala,SB,79.12,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
104,Arraial Do Cabo,BR,86.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
110,Alice Springs,AU,87.8,few clouds,-23.7,133.88,Desert Palms Alice Springs
111,Puerto Ayacucho,VE,81.88,broken clouds,5.66,-67.62,Posada Turistica Manapiare
113,Kindu,CD,79.59,light rain,-2.95,25.95,Hotel Karibu
114,Camopi,GF,89.94,overcast clouds,3.17,-52.32,
118,Lakatoro,VU,76.77,clear sky,-16.1,167.42,Lakatoro Palm Lodge
119,Hithadhoo,MV,83.73,clear sky,-0.6,73.08,Scoop Guest House
120,Fare,PF,80.29,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
121,Kulhudhuffushi,MV,83.5,overcast clouds,6.62,73.07,Haajy Guest House 1
124,Aquiraz,BR,86.0,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
125,Samarai,PG,80.1,light rain,-10.62,150.67,Nuli Sapi
128,Yanam,IN,76.6,clear sky,16.73,82.22,The Regency Hotel
131,Saint-Leu,RE,75.2,overcast clouds,-21.15,55.28,La Caz Oceane
134,Santa Cruz,BO,77.0,light rain,-17.8,-63.17,Hotel Cortez
141,Lorengau,PG,81.9,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
143,Kununurra,AU,84.2,broken clouds,-15.77,128.73,Hotel Kununurra
146,Mitsamiouli,KM,80.56,few clouds,-11.38,43.28,Foyer ADM
148,Male,MV,82.83,light rain,4.17,73.51,Hotel Octave Maldives
149,Larap,PH,79.52,light rain,14.3,122.65,Mambulao Pacific Resort & Hotel
160,Sinnamary,GF,86.41,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
163,Labuan,MY,82.4,few clouds,5.28,115.24,Tiara Labuan Hotel
174,Sur,OM,79.36,clear sky,22.57,59.53,Sur Plaza Hotel
177,Lazaro Cardenas,MX,75.38,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
180,Acapulco,MX,77.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
