City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.78,147.06,55.4,71,75,1.12,broken clouds
1,Busselton,AU,-33.65,115.33,64.0,30,0,11.25,clear sky
2,Avarua,CK,-21.21,-159.78,71.6,83,100,3.36,overcast clouds
3,Tura,IN,25.52,90.22,73.78,95,0,3.42,clear sky
4,Yellowknife,CA,62.46,-114.35,16.0,85,90,8.05,light snow
5,Albany,US,42.6,-73.97,44.01,90,100,1.07,overcast clouds
6,Souillac,MU,-20.52,57.52,72.0,72,52,8.99,light rain
7,Deoria,IN,26.5,83.79,77.49,33,0,4.38,clear sky
8,Baherden,TM,38.44,57.43,60.39,26,75,13.94,broken clouds
9,Faanui,PF,-16.48,-151.75,79.66,76,42,9.26,light rain
10,Ponta Do Sol,PT,32.67,-17.1,71.6,68,40,12.75,scattered clouds
11,Anjiang,CN,27.32,110.1,60.48,83,100,0.81,overcast clouds
12,Sakakah,SA,29.97,40.21,91.4,9,0,4.7,clear sky
13,Ushuaia,AR,-54.8,-68.3,42.8,93,90,9.17,light intensity drizzle
14,Vardo,NO,70.37,31.11,33.8,86,0,8.05,clear sky
15,Bluff,NZ,-46.6,168.33,53.01,91,73,3.0,broken clouds
16,Verkhoyansk,RU,67.54,133.38,3.49,92,100,1.19,light snow
17,Grindavik,IS,63.84,-22.43,44.6,81,75,31.09,broken clouds
18,Khani,GE,41.96,42.96,84.2,28,0,12.75,clear sky
19,Margate,GB,51.38,1.39,55.0,89,100,5.01,light rain
20,Mastic Beach,US,40.77,-72.85,51.01,97,100,13.44,moderate rain
21,Hasaki,JP,35.73,140.83,60.8,67,75,8.05,broken clouds
22,Bethel,US,41.37,-73.41,48.2,93,90,3.18,moderate rain
23,Adrar,MR,20.5,-10.07,90.95,11,0,8.25,clear sky
24,Puerto Ayora,EC,-0.74,-90.35,66.99,98,99,5.99,overcast clouds
25,Nikolskoye,RU,59.7,30.79,51.8,87,75,4.47,light rain
26,Nome,US,64.5,-165.41,26.6,92,90,4.7,overcast clouds
27,Yaan,NG,7.38,8.57,92.5,47,21,0.65,few clouds
28,Hilo,US,19.73,-155.09,73.4,73,1,4.7,clear sky
29,Kruisfontein,ZA,-34.0,24.73,66.0,73,100,10.0,overcast clouds
30,Mecca,SA,21.43,39.83,92.01,30,0,17.34,clear sky
31,Rikitea,PF,-23.12,-134.97,74.32,73,100,9.37,overcast clouds
32,Ha Giang,VN,22.83,104.98,69.69,83,100,1.99,overcast clouds
33,Nanortalik,GL,60.14,-45.24,32.83,92,100,6.33,overcast clouds
34,Taoudenni,ML,22.68,-3.98,96.44,10,0,12.91,clear sky
35,Georgetown,MY,5.41,100.34,82.4,78,20,5.39,moderate rain
36,Cape Town,ZA,-33.93,18.42,64.99,54,75,10.29,broken clouds
37,Mataura,NZ,-46.19,168.86,53.01,91,63,3.0,broken clouds
38,Tessalit,ML,20.2,1.01,94.3,10,0,4.97,clear sky
